"DEPARTAMENTO DE PROPAGANDA Y AGITACIÓN (DPA)";Entity;DPRK;2017-09-11;"Democratic People's Republic of Korea"
"7TH OF TIR";Entity;Iran;2006-12-23;NULL
"ABDALLAH AZZAM BRIGADES (AAB)";Entity;Al-Qaida;2014-09-23;NULL
"ABU SAYYAF GROUP";Entity;Al-Qaida;2001-10-06;Philippines
"ABZAR BORESH KAVEH CO. (BK CO.)";Entity;Iran;2008-03-03;NULL
"ACADEMY OF NATIONAL DEFENSE SCIENCE";Entity;DPRK;2016-03-02;"Democratic People's Republic of Korea"
ADF;Entity;DRC;2014-06-30;"Democratic Republic of the Congo"
"AFGHAN SUPPORT COMMITTEE (ASC)";Entity;Al-Qaida;2002-01-11;Pakistan
"AL FURQAN";Entity;Al-Qaida;2004-05-11;"Bosnia and Herzegovina"
"AL MOUAKAOUNE BIDDAM";Entity;Al-Qaida;2014-06-02;Mali
"AL MOULATHAMOUN";Entity;Al-Qaida;2014-06-02;Mali
"AL MOURABITOUN";Entity;Al-Qaida;2014-06-02;Mali
"AL RASHID TRUST";Entity;Al-Qaida;2001-10-06;Pakistan
"AL WASEL AND BABEL GENERAL TRADING LLC";Entity;Iraq;2004-04-26;"United Arab Emirates"
"AL-AKHTAR TRUST INTERNATIONAL";Entity;Al-Qaida;2005-08-17;Pakistan
"AL-BASHAIR TRADING COMPANY, LTD";Entity;Iraq;2004-04-26;Iraq
"AL-HARAMAIN & AL MASJED AL-AQSA CHARITY
                FOUNDATION";Entity;Al-Qaida;2004-06-28;"Bosnia and Herzegovina"
"AL-HARAMAIN FOUNDATION (PAKISTAN)";Entity;Al-Qaida;2004-01-26;Pakistan
"AL-HARAMAIN FOUNDATION (UNION OF THE COMOROS)";Entity;Al-Qaida;2004-09-28;"Union of the Comoros"
"AL-HARAMAIN: AFGHANISTAN BRANCH";Entity;Al-Qaida;2004-07-06;Afghanistan
"AL-HARAMAIN: ALBANIA BRANCH";Entity;Al-Qaida;2004-07-06;Albania
"AL-HARAMAIN: BANGLADESH BRANCH";Entity;Al-Qaida;2004-07-06;Bangladesh
"AL-HARAMAIN: ETHIOPIA BRANCH";Entity;Al-Qaida;2004-07-06;Ethiopia
"AL-HARAMAIN: THE NETHERLANDS BRANCH";Entity;Al-Qaida;2004-07-06;"The Netherlands"
"AL-HARAMAYN FOUNDATION (KENYA)";Entity;Al-Qaida;2004-01-26;Kenya
"AL-HARAMAYN FOUNDATION (TANZANIA)";Entity;Al-Qaida;2004-01-26;Tanzania
"AL-ITIHAAD AL-ISLAMIYA / AIAI";Entity;Al-Qaida;2001-10-06;NULL
"AL-KAWTHAR MONEY EXCHANGE";Entity;Al-Qaida;2018-03-06;Iraq
"AL-NUSRAH FRONT FOR THE PEOPLE OF THE LEVANT";Entity;Al-Qaida;2014-05-14;"Syrian Arab Republic"
AL-QAIDA;Entity;Al-Qaida;2001-10-06;NULL
"AL-QAIDA IN IRAQ";Entity;Al-Qaida;2004-10-18;NULL
"AL-QAIDA IN THE ARABIAN PENINSULA (AQAP)";Entity;Al-Qaida;2010-01-19;NULL
AL-SHABAAB;Entity;Somalia;2010-04-12;NULL
"ALFA COMPANY LIMITED FOR INTERNATIONAL TRADING AND MARKETING";Entity;Iraq;2004-06-02;Jordan
"AMIN INDUSTRIAL COMPLEX";Entity;Iran;2010-06-09;"Iran (Islamic Republic of)"
"AMMUNITION AND METALLURGY INDUSTRIES GROUP (AMIG)";Entity;Iran;2007-03-24;NULL
"AMROGGANG DEVELOPMENT BANKING CORPORATION";Entity;DPRK;2012-05-02;"Democratic People's Republic of Korea"
"ANSAR AL CHARIA BENGHAZI";Entity;Al-Qaida;2014-11-19;NULL
"ANSAR AL CHARIA DERNA";Entity;Al-Qaida;2014-11-19;NULL
"ANSAR AL-ISLAM";Entity;Al-Qaida;2003-02-24;NULL
"ANSAR AL-SHARI’A IN Tunisia (AAS-T)";Entity;Al-Qaida;2014-09-23;Tunisia
"ANSAR EDDINE";Entity;Al-Qaida;2013-03-20;Mali
"ANSARUL MUSLIMINA FI BILADIS SUDAN";Entity;Al-Qaida;2014-06-26;Nigeria
"ARMAMENT INDUSTRIES GROUP (AIG)";Entity;Iran;2010-06-09;"Iran (Islamic Republic of)"
"ARMED ISLAMIC GROUP";Entity;Al-Qaida;2001-10-06;Algeria
"ASBAT AL-ANSAR";Entity;Al-Qaida;2001-10-06;Lebanon
"AVIATRANS ANSTALT";Entity;Iraq;2004-04-26;Liechtenstein
"Al-ARABI TRADING COMPANY";Entity;Iraq;2004-04-26;Iraq
"BANK OF EAST LAND";Entity;DPRK;2013-01-22;"Democratic People's Republic of Korea"
"BARZAGANI TEJARAT TAVANMAD SACCAL COMPANIES";Entity;Iran;2008-03-03;NULL
"BEHINEH TRADING CO.";Entity;Iran;2012-04-18;"Iran (Islamic Republic of)"
"BENEVOLENCE INTERNATIONAL FOUNDATION";Entity;Al-Qaida;2002-11-21;"United States of America"
"BUTEMBO AIRLINES (BAL)";Entity;DRC;2007-03-29;"Democratic Republic of the Congo"
"COMISIÓN MILITAR CENTRAL DEL PARTIDO DE LOS TRABAJADORES DE
COREA (CMC)";Entity;DPRK;2017-09-11;"Democratic People's Republic of Korea"
"CHANG AN SHIPPING & TECHNOLOGY";Entity;DPRK;2018-03-30;China
"CHONGCHONGANG SHIPPING COMPANY";Entity;DPRK;2016-03-02;"Democratic People's Republic of Korea"
"CHONMYONG SHIPPING CO";Entity;DPRK;2018-03-30;"Democratic People's Republic of Korea"
"COMPAGNIE AERIENNE DES GRANDS LACS (CAGL) ; GREAT LAKES
BUSINESS COMPANY (GLBC)";Entity;DRC;2007-03-29;"Democratic Republic of the Congo"
"CONGOMET TRADING HOUSE";Entity;DRC;2007-03-29;NULL
"CRUISE MISSILE INDUSTRY GROUP";Entity;Iran;2007-03-24;NULL
"DAEDONG CREDIT BANK (DCB)";Entity;DPRK;2016-03-02;"Democratic People's Republic of Korea"
"DCB FINANCE LIMITED";Entity;DPRK;2016-11-30;"British Virgin Islands"
"DEFENCE INDUSTRIES ORGANISATION (DIO)";Entity;Iran;2006-12-23;NULL
"DEFENSE TECHNOLOGY AND SCIENCE RESEARCH CENTER (DTSRC)";Entity;Iran;2010-06-09;"Iran (Islamic Republic of)"
"DOOSTAN INTERNATIONAL COMPANY (DICO)";Entity;Iran;2010-06-09;NULL
"EASTERN TURKISTAN ISLAMIC MOVEMENT (ETIM)";Entity;Al-Qaida;2002-09-11;NULL
"EGYPTIAN ISLAMIC JIHAD";Entity;Al-Qaida;2001-10-06;NULL
"ELECTRO SANAM COMPANY";Entity;Iran;2008-03-03;NULL
"EMARAT KAVKAZ";Entity;Al-Qaida;2011-07-29;NULL
"ETTEHAD TECHNICAL GROUP";Entity;Iran;2008-03-03;NULL
"FAJR INDUSTRIAL GROUP";Entity;Iran;2006-12-23;NULL
"FARASAKHT INDUSTRIES";Entity;Iran;2010-06-09;"Iran (Islamic Republic of)"
"FARAYAND TECHNIQUE";Entity;Iran;2006-12-23;NULL
"FATER INSTITUTE";Entity;Iran;2010-06-09;NULL
"FIRST OIL JV CO LTD";Entity;DPRK;2018-03-30;"Democratic People's Republic of Korea"
"FORCES DEMOCRATIQUES DE LIBERATION DU RWANDA (FDLR)";Entity;DRC;2012-12-31;"Democratic Republic of the Congo"
"FOREIGN TRADE BANK (FTB)";Entity;DPRK;2017-08-05;"Democratic People's Republic of Korea"
"GENERAL BUREAU OF ATOMIC ENERGY (GBAE)";Entity;DPRK;2009-07-16;"Democratic People's Republic of Korea"
"GHARAGAHE SAZANDEGI GHAEM";Entity;Iran;2010-06-09;NULL
"GHORB KARBALA";Entity;Iran;2010-06-09;NULL
"GHORB NOOH";Entity;Iran;2010-06-09;NULL
"GLOBAL RELIEF FOUNDATION (GRF)";Entity;Al-Qaida;2002-10-22;"United States of America"
"GREEN PINE ASSOCIATED CORPORATION";Entity;DPRK;2012-05-02;"Democratic People's Republic of Korea"
"HAJI BASIR AND ZARJMIL COMPANY HAWALA";Entity;Taliban;2015-03-27-04:00;Pakistan
"HAJI KHAIRULLAH HAJI SATTAR MONEY EXCHANGE";Entity;Taliban;2012-06-29;Pakistan
"HANIFA MONEY EXCHANGE OFFICE (BRANCH LOCATED IN ALBU KAMAL,
SYRIAN ARAB REPUBLIC)";Entity;Al-Qaida;2017-07-20;"Syrian Arab Republic"
"HAPJANGGANG SHIPPING CORP";Entity;DPRK;2018-03-30;"Democratic People's Republic of Korea"
"HAQQANI NETWORK (HQN)";Entity;Taliban;2012-11-05;NULL
"HARA COMPANY";Entity;Iran;2010-06-09;NULL
"HARAKAT SHAM AL-ISLAM";Entity;Al-Qaida;2016-02-29;NULL
"HARAKAT UL-MUJAHIDIN / HUM";Entity;Al-Qaida;2001-10-06;Pakistan
"HARAKAT-UL JIHAD ISLAMI";Entity;Al-Qaida;2010-08-06;NULL
"HESONG TRADING COMPANY";Entity;DPRK;2016-03-02;"Democratic People's Republic of Korea"
"HILAL AHMAR SOCIETY INDONESIA (HASI)";Entity;Al-Qaida;2015-03-13;NULL
"HONG KONG ELECTRONICS";Entity;DPRK;2009-07-16;"República Islámica del Irán"
"HUAXIN SHIPPING HONGKONG LTD";Entity;DPRK;2018-03-30;China
"IDLEB COMPANY FOR SPINNING";Entity;Iraq;2004-04-26;Iraq
"ILSIM INTERNATIONAL BANK";Entity;DPRK;2016-11-30;"Democratic People's Republic of Korea"
"IMENSAZAN CONSULTANT ENGINEERS INSTITUTE";Entity;Iran;2010-06-09;NULL
"INDUSTRIAL FACTORIES OF PRECISION (IFP) MACHINERY";Entity;Iran;2008-03-03;NULL
"ISLAMIC ARMY OF ADEN";Entity;Al-Qaida;2001-10-06;NULL
"ISLAMIC INTERNATIONAL BRIGADE (IIB)";Entity;Al-Qaida;2003-03-04;NULL
"ISLAMIC JIHAD GROUP";Entity;Al-Qaida;2005-06-01;NULL
"ISLAMIC MOVEMENT OF UZBEKISTAN";Entity;Al-Qaida;2001-10-06;NULL
"ISLAMIC STATE IN IRAQ AND THE LEVANT - KHORASAN (ISIL-K)";Entity;Al-Qaida;2019-05-14;NULL
"ISLAMIC STATE IN IRAQ AND THE LEVANT - LIBYA";Entity;Al-Qaida;2020-03-04;NULL
"ISLAMIC STATE IN IRAQ AND THE LEVANT - YEMEN";Entity;Al-Qaida;2020-03-04;NULL
"ISLAMIC STATE IN THE GREATER SAHARA (ISGS)";Entity;Al-Qaida;2020-02-23;NULL
"ISLAMIC STATE WEST AFRICA PROVINCE (ISWAP)";Entity;Al-Qaida;2020-02-23;NULL
"Islamic State In Iraq And the Levant In South-East Asia
                (ISIL-SEA, ISIL-South East Asia)";Entity;Al-Qaida;NULL;NULL
JAISH-I-MOHAMMED;Entity;Al-Qaida;2001-10-17;Pakistan
"JAM'YAH TA'AWUN AL-ISLAMIA";Entity;Al-Qaida;2001-10-17;Afghanistan
"JAMA'A NUSRAT UL-ISLAM WA AL-MUSLIMIN (JNIM)";Entity;Al-Qaida;2018-10-04;NULL
"JAMA'ATU AHLIS SUNNA LIDDA'AWATI WAL-JIHAD";Entity;Al-Qaida;2014-05-22;Nigeria
"JAMAAH ANSHARUT DAULAH";Entity;Al-Qaida;2020-03-04;NULL
"JAMAAT-UL-AHRAR (JuA)";Entity;Al-Qaida;2017-07-06;NULL
"JEMAAH ISLAMIYAH";Entity;Al-Qaida;2002-10-25;NULL
"JEMMAH ANSHORUT TAUHID (JAT)";Entity;Al-Qaida;2012-03-12;Indonesia
"JOZA INDUSTRIAL CO.";Entity;Iran;2008-03-03;NULL
"JUND AL AQSA";Entity;Al-Qaida;2017-07-20;"Syrian Arab Republic"
"JUND AL-KHILAFAH IN ALGERIA (JAK-A)";Entity;Al-Qaida;2015-09-29;NULL
"JUND AL-KHILAFAH IN TUNISIA (JAK-T)";Entity;Al-Qaida;2021-12-29;NULL
"Jaysh Khalid Ibn al Waleed";Entity;Al-Qaida;2017-07-20;NULL
KALA-ELECTRIC;Entity;Iran;2006-12-23;NULL
"KANGBONG TRADING CORPORATION";Entity;DPRK;2017-06-02;"Democratic People's Republic of Korea"
"KAVEH CUTTING TOOLS COMPANY";Entity;Iran;2010-06-09;"Iran (Islamic Republic of)"
"KHATAM AL-ANBIYA CONSTRUCTION HEADQUARTERS (KAA)";Entity;Iran;2010-06-09;NULL
"KHATIBA AL-TAWHID WAL-JIHAD (KTJ)";Entity;Al-Qaida;2022-03-07;NULL
"KHATIBA IMAM AL-BUKHARI (KIB)";Entity;Al-Qaida;2018-03-29;NULL
"KHORASAN METALLURGY INDUSTRIES";Entity;Iran;2008-03-03;NULL
"KINGLY WON INTERNATIONAL CO., LTD";Entity;DPRK;2018-03-30;"Marshall Islands"
"KOREA ACHIM SHIPPING CO";Entity;DPRK;2018-03-30;"Democratic People's Republic of Korea"
"KOREA ANSAN SHIPPING COMPANY";Entity;DPRK;2018-03-30;"Democratic People's Republic of Korea"
"KOREA COMPLEX EQUIPMENT IMPORT CORPORATION";Entity;DPRK;2013-03-07;"Democratic People's Republic of Korea"
"KOREA DAESONG BANK";Entity;DPRK;2016-11-30;"Democratic People's Republic of Korea"
"KOREA DAESONG GENERAL TRADING CORPORATION";Entity;DPRK;2016-11-30;"Democratic People's Republic of Korea"
"KOREA FOREIGN TECHNICAL TRADE CENTER";Entity;DPRK;2016-11-30;"Democratic People's Republic of Korea"
"KOREA HEUNGJIN TRADING COMPANY";Entity;DPRK;2012-05-02;"Democratic People's Republic of Korea"
"KOREA HYOKSIN TRADING CORPORATION";Entity;DPRK;2009-07-16;"Democratic People's Republic of Korea"
"KOREA INTERNATIONAL CHEMICAL JOINT VENTURE COMPANY";Entity;DPRK;2016-11-30;"Democratic People's Republic of Korea"
"KOREA KUMRYONG TRADING CORPORATION";Entity;DPRK;2013-01-22;NULL
"KOREA KUMSAN TRADING CORPORATION";Entity;DPRK;2017-06-02;"Democratic People's Republic of Korea"
"KOREA KWANGSON BANKING CORPORATION (KKBC)";Entity;DPRK;2016-03-02;"Democratic People's Republic of Korea"
"KOREA KWANGSONG TRADING CORPORATION";Entity;DPRK;2016-03-02;"Democratic People's Republic of Korea"
"KOREA MINING DEVELOPMENT TRADING CORPORATION";Entity;DPRK;2009-04-24;"Democratic People's Republic of Korea"
"KOREA MYONGDOK SHIPPING CO";Entity;DPRK;2018-03-30;"Democratic People's Republic of Korea"
"KOREA PUGANG TRADING CORPORATION";Entity;DPRK;2016-11-30;"Democratic People's Republic of Korea"
"KOREA RYONBONG GENERAL CORPORATION";Entity;DPRK;2009-04-24;"Democratic People's Republic of Korea"
"KOREA RYONHA MACHINERY JOINT VENTURE CORPORATION";Entity;DPRK;2013-01-22;"Democratic People's Republic of Korea"
"KOREA SAMJONG SHIPPING";Entity;DPRK;2018-03-30;"Democratic People's Republic of Korea"
"KOREA SAMMA SHIPPING CO";Entity;DPRK;2018-03-30;"Democratic People's Republic of Korea"
"KOREA TAESONG TRADING COMPANY";Entity;DPRK;2016-11-30;"Democratic People's Republic of Korea"
"KOREA UNITED DEVELOPMENT BANK";Entity;DPRK;2016-11-30;"Democratic People's Republic of Korea"
"KOREA YUJONG SHIPPING CO LTD";Entity;DPRK;2018-03-30;"Democratic People's Republic of Korea"
"KOREAN COMMITTEE FOR SPACE TECHNOLOGY";Entity;DPRK;2013-01-22;"Democratic People's Republic of Korea"
"KOREAN NATIONAL INSURANCE COMPANY (KNIC)";Entity;DPRK;2017-08-05;"Democratic People's Republic of Korea"
"KOREAN TANGUN TRADING CORPORATION";Entity;DPRK;2009-07-16;"Democratic People's Republic of Korea"
"KORYO BANK";Entity;DPRK;2017-06-02;"Democratic People's Republic of Korea"
"KORYO CREDIT DEVELOPMENT BANK";Entity;DPRK;2017-08-05;"Democratic People's Republic of Korea"
"KOTI CORP";Entity;DPRK;2018-03-30;Panama
"LASHKAR I JHANGVI (LJ)";Entity;Al-Qaida;2003-02-03;NULL
LASHKAR-E-TAYYIBA;Entity;Al-Qaida;2005-05-02;NULL
"LEADER (HONG KONG) INTERNATIONAL";Entity;DPRK;2013-01-22;"Hong Kong Special Administrative Region"
"LIBYAN AFRICA INVESTMENT PORTFOLIO";Entity;Libya;2011-03-17;Libya
"LIBYAN INVESTMENT AUTHORITY";Entity;Libya;2011-03-17;Libya
"LIBYAN ISLAMIC FIGHTING GROUP";Entity;Al-Qaida;2001-10-06;Libya
"LOGARCHEO S.A.";Entity;Iraq;2004-04-26;Switzerland
"LORD’S RESISTANCE ARMY";Entity;CAR;2016-03-07;"Central African Republic"
"M. BABAIE INDUSTRIES";Entity;Iran;2010-06-09;"Iran (Islamic Republic of)"
M23;Entity;DRC;2012-12-31;NULL
"MACHANGA LTD";Entity;DRC;2007-03-29;Uganda
"MAKHTAB AL-KHIDAMAT";Entity;Al-Qaida;2001-10-06;NULL
MAKIN;Entity;Iran;2010-06-09;NULL
"MALEK ASHTAR UNIVERSITY";Entity;Iran;2010-06-09;"Iran (Islamic Republic of)"
"MANSUDAE OVERSEAS PROJECT GROUP OF COMPANIES";Entity;DPRK;2017-08-05;"Democratic People's Republic of Korea"
"MINISTRY OF ATOMIC ENERGY INDUSTRY";Entity;DPRK;2016-03-02;"Democratic People's Republic of Korea"
"MINISTRY OF DEFENSE LOGISTICS EXPORT";Entity;Iran;2010-06-09;"Iran (Islamic Republic of)"
"MINISTERIO DE LAS FUERZAS ARMADAS DEL PUEBLO (MFAP)";Entity;DPRK;2017-12-22;"Democratic People's Republic of Korea"
"MIZAN MACHINERY MANUFACTURING";Entity;Iran;2010-06-09;"Iran (Islamic Republic of)"
"MOROCCAN ISLAMIC COMBATANT GROUP";Entity;Al-Qaida;2002-10-10;Morocco
"MOUVEMENT POUR
                                                  L’UNIFICATION ET LE JIHAD EN AFRIQUE DE L’OUEST
                                                  (MUJAO)";Entity;Al-Qaida;2012-12-05;Mali
"MUHAMMAD JAMAL NETWORK (MJN)";Entity;Al-Qaida;2013-10-21;NULL
"MUJAHIDIN INDONESIAN TIMUR (MIT)";Entity;Al-Qaida;2015-09-29;NULL
"MUNITIONS INDUSTRY DEPARTMENT";Entity;DPRK;2016-03-02;"Democratic People's Republic of Korea"
"MYOHYANG SHIPPING CO";Entity;DPRK;2018-03-30;"Democratic People's Republic of Korea"
"NAMCHONGANG TRADING CORPORATION";Entity;DPRK;2009-07-16;"Democratic People's Republic of Korea"
"NATIONAL AEROSPACE DEVELOPMENT ADMINISTRATION";Entity;DPRK;2016-03-02;"Democratic People's Republic of Korea"
"NIRU BATTERY MANUFACTURING COMPANY";Entity;Iran;2008-03-03;NULL
"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED (OMM)";Entity;DPRK;2014-07-28;"Democratic People's Republic of Korea"
"OFFICE 39";Entity;DPRK;2016-03-02;"Democratic People's Republic of Korea"
"OMRAN SAHEL";Entity;Iran;2010-06-09;NULL
"DEPARTAMENTO DE ORGANIZACIÓN Y ORIENTACIÓN (DOO)";Entity;DPRK;2017-09-11;"Democratic People's Republic of Korea"
"ORIENTAL OIL KISH";Entity;Iran;2010-06-09;NULL
"PAEKMA SHIPPING CO";Entity;DPRK;2018-03-30;"Democratic People's Republic of Korea"
"PARCHIN CHEMICAL INDUSTRIES";Entity;Iran;2007-03-24;NULL
"PARS AVIATION SERVICES COMPANY";Entity;Iran;2007-03-24;NULL
"PEJMAN INDUSTRIAL SERVICES CORPORATION";Entity;Iran;2010-06-09;"Iran (Islamic Republic of)"
"PHYONGCHON SHIPPING & MARINE";Entity;DPRK;2018-03-30;"Democratic People's Republic of Korea"
"PRO-GAIN GROUP CORPORATION";Entity;DPRK;2018-03-30;NULL
"QODS AERONAUTICS INDUSTRIES";Entity;Iran;2007-03-24;NULL
"RABITA TRUST";Entity;Al-Qaida;2001-10-17;NULL
"RAH SAHEL";Entity;Iran;2010-06-09;NULL
"RAHAB ENGINEERING INSTITUTE";Entity;Iran;2010-06-09;NULL
"RAHAT LTD.";Entity;Taliban;2012-11-21;Afghanistan
"RAJAH SOLAIMAN MOVEMENT";Entity;Al-Qaida;2008-06-04;Philippines
"RECONNAISSANCE GENERAL BUREAU";Entity;DPRK;2016-03-02;"Democratic People's Republic of Korea"
"REVIVAL OF ISLAMIC HERITAGE SOCIETY";Entity;Al-Qaida;2002-01-11;Pakistan
"RIYADUS-SALIKHIN RECONNAISSANCE AND SABOTAGE BATTALION OF CHECHEN MARTYRS (RSRSBCM)";Entity;Al-Qaida;2003-03-04;NULL
"ROSHAN MONEY EXCHANGE";Entity;Taliban;2012-06-29;Pakistan
"SABALAN COMPANY";Entity;Iran;2010-06-09;"Iran (Islamic Republic of)"
"SAD IMPORT EXPORT COMPANY";Entity;Iran;2012-12-20;"Iran (Islamic Republic of)"
"SAFETY EQUIPMENT PROCUREMENT (SEP)";Entity;Iran;2008-03-03;NULL
"SAHAND ALUMINUM PARTS INDUSTRIAL COMPANY (SAPICO)";Entity;Iran;2010-06-09;"Iran (Islamic Republic of)"
"SAHEL CONSULTANT ENGINEERS";Entity;Iran;2010-06-09;NULL
"SANAM INDUSTRIAL GROUP";Entity;Iran;2007-03-24;NULL
"SECOND ACADEMY OF NATURAL SCIENCES";Entity;DPRK;2013-03-07;"Democratic People's Republic of Korea"
"SECOND ECONOMIC COMMITTEE";Entity;DPRK;2016-03-02;"Democratic People's Republic of Korea"
"SELSELAT AL-THAHAB";Entity;Al-Qaida;2017-07-20;Iraq
SEPANIR;Entity;Iran;2010-06-09;NULL
"SEPASAD ENGINEERING COMPANY";Entity;Iran;2010-06-09;NULL
"SHAHID BAGHERI INDUSTRIAL GROUP (SBIG)";Entity;Iran;2006-12-23;NULL
"SHAHID HEMMAT INDUSTRIAL GROUP (SHIG)";Entity;Iran;2006-12-23;NULL
"SHAHID KARRAZI INDUSTRIES";Entity;Iran;2010-06-09;"Iran (Islamic Republic of)"
"SHAHID SATTARI INDUSTRIES";Entity;Iran;2010-06-09;"Iran (Islamic Republic of)"
"SHAHID SAYYADE SHIRAZI INDUSTRIES (SSSI)";Entity;Iran;2010-06-09;"Iran (Islamic Republic of)"
"SHANGHAI DONGFENG SHIPPING CO LTD";Entity;DPRK;2018-03-30;China
"SHEN ZHONG INTERNATIONAL SHIPPING";Entity;DPRK;2018-03-30;China
"SHO'A' AVIATION";Entity;Iran;2007-03-24;NULL
"SINGWANG ECONOMICS AND TRADING GENERAL CORPORATION";Entity;DPRK;2016-11-30;"Democratic People's Republic of Korea"
"SPECIAL INDUSTRIES GROUP (SIG)";Entity;Iran;2010-06-09;"Iran (Islamic Republic of)"
"SPECIAL PURPOSE ISLAMIC REGIMENT (SPIR)";Entity;Al-Qaida;2003-03-04;NULL
"STRATEGIC ROCKET FORCE OF THE KOREAN PEOPLE’S ARMY";Entity;DPRK;2017-06-02;"Democratic People's Republic of Korea"
"T.M.G. ENGINEERING LIMITED";Entity;Iraq;2006-05-12;"United Kingdom"
"TAIBAH INTERNATIONAL-BOSNIA OFFICES";Entity;Al-Qaida;2004-05-11;"Bosnia and Herzegovina"
"TANCHON COMMERCIAL BANK";Entity;DPRK;2009-04-24;"Democratic People's Republic of Korea"
"TARIQ GIDAR GROUP (TGG)";Entity;Al-Qaida;2019-03-22;NULL
"TECHNOLOGY AND DEVELOPMENT GROUP LIMITED";Entity;Iraq;2006-05-12;"United Kingdom"
"TEHRIK-E TALIBAN Pakistan (TTP)";Entity;Al-Qaida;2011-07-29;NULL
"THE ARMY OF EMIGRANTS AND SUPPORTERS";Entity;Al-Qaida;2015-08-06;"Syrian Arab Republic"
"LOS HUZÍES";Entity;Yemen;2022-02-28;Yemen
"THE ORGANIZATION OF AL-QAIDA IN THE ISLAMIC MAGHREB";Entity;Al-Qaida;2001-10-06;Algeria
"TIZ PARS";Entity;Iran;2010-06-09;"Iran (Islamic Republic of)"
"TOSONG TECHNOLOGY TRADING CORPORATION";Entity;DPRK;2013-01-22;"Democratic People's Republic of Korea"
"TOUS POUR LA PAIX ET LE DEVELOPPEMENT (NGO)";Entity;DRC;2005-11-01;"Democratic Republic of the Congo"
"TRADING AND TRANSPORT SERVICES COMPANY, LTD";Entity;Iraq;2004-06-02;Jordan
"TUNISIAN COMBATANT GROUP";Entity;Al-Qaida;2002-10-10;Tunisia
"UGANDA COMMERCIAL IMPEX (UCI) LTD";Entity;DRC;2007-03-29;Uganda
"UMMAH TAMEER E-NAU (UTN)";Entity;Al-Qaida;2001-12-24;Afghanistan
"WAFA HUMANITARIAN ORGANIZATION";Entity;Al-Qaida;2001-10-06;Pakistan
"WEIHAI WORLD-SHIPPING FREIGHT";Entity;DPRK;2018-03-30;China
"YA MAHDI INDUSTRIES GROUP";Entity;Iran;2007-03-24;NULL
"YAS AIR";Entity;Iran;2012-12-20;"Iran (Islamic Republic of)"
"YAZD METALLURGY INDUSTRIES (YMI)";Entity;Iran;2010-06-09;Iran
"YUK TUNG ENERGY PTE LTD";Entity;DPRK;2018-03-30;Singapore
